USN,Gender,Age,12th marks %,rural/ urban area,Section,Why take this course?,Which teaching methods helped your learning?,Were you prepared to take this course based on prior coursework?,How much time did you spend weekly on this course outside of class for C01?,How much time did you spend weekly on this course outside of class for C02?,How much time did you spend weekly on this course outside of class for C03?,How much time did you spend weekly on this course outside of class for C04?,What level have you achieved in the course outcomes for C01?,What level have you achieved in the course outcomes for C02?,What level have you achieved in the course outcomes for C03?,What level have you achieved in the course outcomes for C04?,How satisfied are you with C01?,How satisfied are you with C02?,How satisfied are you with C03?,How satisfied are you with C04?,List strategies for learning the course outcomes for C01,List strategies for learning the course outcomes for C02,List strategies for learning the course outcomes for C03,List strategies for learning the course outcomes for C04,How many marks will you give yourself for C01?,How many marks will you give yourself for C02?,How many marks will you give yourself for C03?,How many marks will you give yourself for C04?,"If your marks are low in C01, who do you blame for your performance?","If your marks are low in C02, who do you blame for your performance?","If your marks are low in C03, who do you blame for your performance?","If your marks are low in C04, who do you blame for your performance?",Explain briefly your rationale for you choice to the previous question,Would more faculty concern improve your learning in C01?,Would more faculty concern improve your learning in C02?,Would more faculty concern improve your learning in C03?,Would more faculty concern improve your learning in C04?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C02?,Would more outside help improve your learning in C03?,Would more outside help improve your learning in C04?,Your overall feedback,Would more outside help improve your learning in C01?.1,Would more outside help improve your learning in C01?.2,Would more outside help improve your learning in C01?.3,Your overall feedback about the course,Write a paragraph about your course experience.,Were class activities allowed to be submitted after the class timing? [CO1]
1RVU23CSE156,,,,Rural,,,"Lectures, including online lectures;Teamwork or group activities",Yes,1-2 hours,3-4 hours,3-4 hours,T4,"Making judgments about the value of information, arguments, or methods",Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,"Making judgments about the value of information, arguments, or methods",Happy as I understood the teacher,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I understood the teacher,"Understand others work but redo it, referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",3,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,NO,NO,Yes,Yes,NO,,,,,NO,Yes,Yes,Good (70 - 90%),Overall my course experience was good . But if the teacher had taken more time in explaining each concepts then it would've been excellent.,
1RVU23CSE426,,,,Urban,,,"Class discussions, including online discussion boards;Outside-class homework, readings;Teamwork or group activities;Student presentations",Yes,T1,T1,T1,1-2 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Solving problems,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,NO,NO,NO,Yes,NO,,,,,NO,NO,Yes,Good (70 - 90%),"My journey through the Data Analysis with Python (DAP) course was a dynamic blend of learning and challenge. The instructor's diverse teaching methods, from insightful lectures to interactive discussions, significantly enriched my understanding. The practical approach, including hands-on projects, allowed me to apply theoretical knowledge effectively
More faculty support and concern beyond class hours could have enhanced the overall learning experience. Nevertheless, the course has equipped me with valuable skills in data analysis, laying a strong foundation for future endeavors in the field.",
1RVU23CSE410,,,,Rural,,,"Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations;Fieldwork/ field trips",No,1-2 hours,1-2 hours,3-4 hours,1-2 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,3,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,Yes,Yes,Yes,NO,,,,,NO,NO,Yes,Good (70 - 90%),"Its was a great experience having DAP as it gave us the idea about how the data analysis works and how we use the prompts/ code/syntax to easier our reserach and the activities were fun doing because it wss something a lot of students had been through first time and it was fun learning and doing the activities.. our lecture sahana maam was so polite and patient and guided us throughout the course also her life experience she shared made us understand the out side world and kept us motivated to learn more about the course and analysis we done and will be doing in future
Thank you",
1RVU23CSE118,,,,Rural,,,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities;Fieldwork/ field trips",No,3-4 hours,3-4 hours,3-4 hours,T4,"Synthesizing and organizing ideas, information, or experiences","Making judgments about the value of information, arguments, or methods",Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Happy as I understood the teacher,Happy as I understood the teacher,Neutral about the activities,Happy as I put in the required effort,"Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it","Understand others work but redo it, referring to it",3,5,4,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,NO,NO,NO,Yes,,,,,NO,NO,Yes,Good (70 - 90%),It was a really good experience even though I didn't know Python it was interesting to learn it and the overall activities and the group project made it even more fun to learn.,
1RVU23CSE211,,,,Urban,,,Projects or portfolios,Yes,T1,1-2 hours,1-2 hours,3-4 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,Teacher,Teacher,Teacher,Teacher,,Yes,Yes,Yes,Yes,Yes,,,,,NO,Yes,NO,Good (70 - 90%),It was okay,
1RVU23CSE252,,,,Rural,,,"In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities",No,1-2 hours,3-4 hours,3-4 hours,T4,Thinking creatively or critically,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Yourself,Yourself,Circumstances,,NO,NO,NO,NO,NO,,,,,NO,NO,Yes,Good (70 - 90%),"The course was absolutely good, as we learnt how to analyse the real life examples... I personally enjoyed doing project work",
1RVU23CSE518,,,,Urban,,,"Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,1-2 hours,T1,T1,T1,Applying theories or concepts to practical problems or in new situations,Thinking creatively or critically,Solving problems,Solving problems,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,NO,NO,NO,NO,NO,,,,,NO,NO,NO,Good (70 - 90%),The course is really good and understood how to analyse the data given,
1RVU23CSE236,,,,Urban,,,"In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",No,T1,T1,T1,T1,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, referring to it","Understand others work but redo it, referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,NO,NO,NO,NO,NO,,,,,NO,NO,NO,Excellent (> 90%),The course is great and adds a very valuable skill of basic data science right in the 1st semester which uplifts and makes us differentiable from the crowd. The teacher was able to comprehend the knowledge and was fun to learn. The CO activities never felt like classroom work or assignments and was fun to do always.,
1RVU23CSE102,,,,Rural,,,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations;Guest lecturers;Fieldwork/ field trips;Writing work",Yes,T4,T5,T5,T4,Thinking creatively or critically,Thinking creatively or critically,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I understood the teacher,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,4,4,4,Yourself,Yourself,Yourself,Yourself,,Yes,Yes,Yes,Yes,NO,,,,,NO,NO,NO,Excellent (> 90%),This course is excellent I learnt more preciously I am from bio background but I understand  very well because of teaching style.Overall good course,
1RVU23CSE522,,,,Urban,,,"Class discussions, including online discussion boards;Teamwork or group activities;Student presentations;Guest lecturers;Fieldwork/ field trips",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,NO,NO,NO,NO,NO,,,,,NO,NO,NO,Excellent (> 90%),"The data analysis course was a game-changer for me. Learning how to approach data with GenAI and other tools made it all click. I got the hang of central tendencies and using cool charts like scatter plots. Handling missing data and playing with visuals was like solving a puzzle. The course stressed how telling a story with data is key, and I loved that. Interpreting charts, especially those from India in pixels, made it feel real! Wrapping it up with a project tied everything together. It wasn't just learning; it was like getting a superpower to make sense of data.",
1RVU23CSE139,,,,Rural,,,"Lectures, including online lectures",Yes,T4,T4,T4,T4,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,"Understand others work but redo it, referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it",3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,NO,NO,NO,NO,NO,,,,,NO,NO,NO,Excellent (> 90%),Good,
1RVU23CSE392,,,,Urban,,,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Labs;Projects or portfolios;Student presentations",Yes,T4,T4,T4,T4,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Excellent (> 90%),Best,
1RVU23CSE549,,,,Urban,,,Teamwork or group activities,Yes,1-2 hours,3-4 hours,3-4 hours,T4,"Applying basic elements of an idea, experience, or theory","Synthesizing and organizing ideas, information, or experiences","Applying basic elements of an idea, experience, or theory","Synthesizing and organizing ideas, information, or experiences",Neutral with my effort,Happy as I enjoyed doing the CO activities,Neutral with my effort,Neutral with my effort,Copy-paste from online,"Understand others work but redo it, referring to it",Copy-paste from online,"Understand others work but redo it, without referring to it",2,3,3,2,Circumstances,Yourself,Teacher,Yourself,,Yes,Yes,NO,Yes,NO,,,,,NO,NO,NO,Good (70 - 90%),"Taking the Data Analysis with Python course was a rewarding experience that provided a solid foundation in leveraging Python for extracting insights from data. The course introduced key libraries like Pandas, NumPy, and Matplotlib, enabling me to manipulate and visualize datasets effectively. Practical exercises and real-world examples allowed for hands-on application, enhancing my skills in data cleaning, exploration, and visualization. While the course offered valuable insights, there were moments when clearer communication of assignments and expectations would have been beneficial. However, supplementing the coursework with external resources, such as ""Python for Data Analysis"" by Wes McKinney, proved invaluable. Overall, the course equipped me with the essential tools for data analysis, and I look forward to applying these skills confidently in future endeavors.",
1RVU23CSE124,,,,Urban,,,"In-class learning activities, other than discussions",No,T1,1-2 hours,1-2 hours,1-2 hours,"Synthesizing and organizing ideas, information, or experiences","Synthesizing and organizing ideas, information, or experiences","Synthesizing and organizing ideas, information, or experiences","Applying basic elements of an idea, experience, or theory",Neutral with my effort,Neutral with my effort,Neutral with my effort,Neutral with my effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,Yes,Yes,Yes,NO,,,,,NO,NO,NO,Good (70 - 90%),Its good that we are getting to study this course in the very first sem of our btech program instead of the same old physics cycle chem cycle. Group projects nd assignments and small assessments surely helped me to have good grip on the subject,
1RVU23CSE073,,,,Urban,,,"Lectures, including online lectures;Class discussions, including online discussion boards;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities",No,1-2 hours,1-2 hours,3-4 hours,3-4 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,5,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,Yes,Yes,Yes,NO,,,,,NO,NO,NO,Good (70 - 90%),I thoroughly enjoyed this class because I got to learn a lot of things that I didn't know before. This class really intrigued me in the field of data science as i wa not that aware of it before. Our teacher being person who has actual experience in the field made learning the subject easier as she gave us her insights of her experience and have us a better understanding. This subject has also taught us how to tackle and understand certain problems that  we face with the help of data science,
1RVU23CSE221,,,,Urban,,,"Lectures, including online lectures;In-class learning activities, other than discussions;Student presentations",Yes,T1,1-2 hours,1-2 hours,1-2 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,Yes,Yes,Yes,NO,,,,,NO,NO,NO,Good (70 - 90%),The course was actually great and useful in my opinion.The things taught could be easily used in real life situations and could be used in combination with programming languages to create something unique and useful,
1RVU23CSE150,,,,Urban,,,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,1-2 hours,3-4 hours,3-4 hours,3-4 hours,Thinking creatively or critically,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,NO,Yes,Yes,Yes,NO,,,,,Yes,Yes,NO,Good (70 - 90%),The course was pretty informative and interesting. Looking forward to learning more,
1RVU23CSE546,,,,Urban,,,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Labs;Projects or portfolios;Teamwork or group activities",No,T1,1-2 hours,3-4 hours,1-2 hours,Solving problems,Solving problems,Solving problems,Solving problems,Neutral about understanding the teacher,Neutral about understanding the teacher,Neutral about understanding the teacher,Neutral about understanding the teacher,Copy-paste friends work,Copy-paste from online,"Understand others work but redo it, referring to it",Copy-paste from online,3,3,2,1,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Okay (40 - 70%),Yeah it needs us importantly for data analysis in future problems,
1RVU23CSE537,,,,Rural,,,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations;Fieldwork/ field trips",Yes,T1,3-4 hours,1-2 hours,T4,Solving problems,Memorizing facts and repeating ideas from the readings and lectures,"Applying basic elements of an idea, experience, or theory","Synthesizing and organizing ideas, information, or experiences",Happy as I understood the teacher,Happy as I put in the required effort,Happy as I enjoyed doing the CO activities,Happy as I understood the teacher,"Understand others work but redo it, without referring to it",Copy-paste friends work,"Understand others work but redo it, without referring to it","Understand others work but redo it, referring to it",4,1,2,3,Teacher,Circumstances,Teacher,Circumstances,,Yes,Yes,Yes,Yes,NO,,,,,NO,NO,NO,Excellent (> 90%),"Good faculties and good activities, assignment and teaching. ",
1RVU23CSE523,,,,Urban,,,"In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations;Writing work",Yes,T1,1-2 hours,1-2 hours,1-2 hours,Thinking creatively or critically,Thinking creatively or critically,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I understood the teacher,Happy as I enjoyed doing the CO activities,Happy as I put in the required effort,"Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,3,3,3,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,NO,NO,NO,NO,Yes,,,,,Yes,Yes,Yes,Good (70 - 90%),"A unique course where I learnt new stuff in terms of data interpretation, analysis ad finding inferences.Really liked it. Looking forward to more such courses.",
1RVU23CSE420,,,,Urban,,,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Student presentations",Yes,T4,T4,T4,T4,Thinking creatively or critically,Thinking creatively or critically,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it",5,5,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Good (70 - 90%),It was an interesting course overall,
1RVU23CSE041,,,,Urban,,,"Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings",No,T1,T6,T7,T7,Applying theories or concepts to practical problems or in new situations,Thinking creatively or critically,Thinking creatively or critically,Solving problems,Happy as I put in the required effort,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,4,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,NO,NO,NO,Yes,,,,,NO,NO,NO,Excellent (> 90%),"It was fun, I enjoyed it, I learnt something new, very happy with how the course went, I wasn't expecting anything from the beginning probably the curiosity what drove me to understand things better and get things done for me when I had multiple courses to deal with and happy how things fell into place. Thanks to sahana ma'am things went quite well for me because of her guidance and support",
1RVU23CSE533,,,,Urban,,,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,1-2 hours,T4,T6,T5,Thinking creatively or critically,Thinking creatively or critically,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,NO,NO,NO,NO,NO,,,,,Yes,Yes,Yes,Good (70 - 90%),"the course was a new experience. i couldn't understand some explanation done in class unless i practiced the activities. Overall, it was a nice experience.",
1RVU23CSE191,,,,Urban,,,Teamwork or group activities,No,T1,1-2 hours,1-2 hours,1-2 hours,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,Circumstances,Circumstances,Circumstances,Circumstances,,Yes,Yes,Yes,Yes,NO,,,,,NO,NO,NO,Excellent (> 90%),Good,
1RVU23CSE366,,,,Urban,,,"Lectures, including online lectures;In-class clickers or other quick response methods;Labs;Projects or portfolios;Guest lecturers;Writing work",,T4,T4,T4,T4,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Copy-paste from online,Copy-paste from online,Copy-paste from online,Copy-paste from online,4,4,4,4,Teacher,Teacher,Teacher,Teacher,,Yes,Yes,Yes,Yes,NO,,,,,NO,NO,NO,Good (70 - 90%),.,
1RVU23CSE412,,,,Rural,,,"Class discussions, including online discussion boards;In-class learning activities, other than discussions",No,3-4 hours,3-4 hours,3-4 hours,3-4 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Excellent (> 90%),"Basically it' s a wonderful course I like it 
It's all about our understanding, analysing the data  and implementing the necessary things",
1RVU23CSE305,,,,Rural,,,"In-class learning activities, other than discussions",Yes,T8,,,,"Synthesizing and organizing ideas, information, or experiences",Applying theories or concepts to practical problems or in new situations,"Making judgments about the value of information, arguments, or methods",Applying theories or concepts to practical problems or in new situations,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,"Understand others work but redo it, referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, referring to it",2,2,2,2,Yourself,Teacher,Teacher,Circumstances,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,NO,Good (70 - 90%),Good,
1RVU23CSE348,,,,Urban,,,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;Projects or portfolios;Student presentations",Yes,T1,T1,T1,1-2 hours,Memorizing facts and repeating ideas from the readings and lectures,Memorizing facts and repeating ideas from the readings and lectures,Memorizing facts and repeating ideas from the readings and lectures,Memorizing facts and repeating ideas from the readings and lectures,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,Yes,Yes,Yes,NO,,,,,NO,NO,NO,Good (70 - 90%),-,
RVU23CSE527,,,,Urban,,,"Lectures, including online lectures;Labs;Projects or portfolios;Teamwork or group activities;Student presentations;Fieldwork/ field trips",Yes,T4,3-4 hours,T4,T4,"Making judgments about the value of information, arguments, or methods","Synthesizing and organizing ideas, information, or experiences","Synthesizing and organizing ideas, information, or experiences","Making judgments about the value of information, arguments, or methods",Happy as I put in the required effort,Happy as I enjoyed doing the CO activities,Happy as I put in the required effort,Happy as I put in the required effort,"Understand others work but redo it, referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, without referring to it",2,2,2,2,Circumstances,Yourself,Teacher,Yourself,,Yes,Yes,NO,Yes,Yes,,,,,Yes,Yes,Yes,Okay (40 - 70%),ok Its GOOD to ME,
1RVU23CSE282,,,,Urban,,,"Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Labs;Projects or portfolios;Teamwork or group activities;Student presentations;Fieldwork/ field trips",No,T1,1-2 hours,1-2 hours,1-2 hours,Thinking creatively or critically,Solving problems,Solving problems,Solving problems,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I put in the required effort,Happy as I understood the teacher,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,4,3,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,NO,NO,NO,NO,NO,,,,,NO,NO,NO,Excellent (> 90%),"DAP with its activities let me have a more hands on experience and the freedom given to us to try it out by ourselves by the facutly helped in clearly understanding how the things work, which just learning the theory wouldve never been able to get me here. All the activities and the last project helped me solidify the concepts.",
1RVU23CSE357,,,,Urban,,,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations;Guest lecturers;Writing work",Yes,T1,1-2 hours,3-4 hours,T4,Applying theories or concepts to practical problems or in new situations,Solving problems,Solving problems,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I put in the required effort,Happy as I understood the teacher,Happy as I enjoyed doing the CO activities,Copy-paste from online,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,3,4,3,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,NO,NO,Yes,NO,NO,,,,,Yes,NO,Yes,Good (70 - 90%),I was very happy and fortunate to get this course as it helped me to gain immense knowledge about Data Analysis on Statistics and it gives pleasure to code python in Jupyter Notebook. I also want to thank the teacher of our section for understanding every concepts in this course and want to continue this course for  learning in the upcoming semesters.,
